N = 100000
regressing against normal vector

epoch 	 Training Loss 	 Test Loss 	 Mean pos error train 	 Mean Pos Error Test
148 	 0.0070 	  0.0086 	 0.0299 	 0.0302
149 	 0.0070 	  0.0088 	 0.0301 	 0.0311
150 	 0.0070 	  0.0090 	 0.0298 	 0.0319
151 	 0.0070 	  0.0089 	 0.0301 	 0.0306
152 	 0.0069 	  0.0090 	 0.0301 	 0.0295
153 	 0.0069 	  0.0085 	 0.0298 	 0.0319
154 	 0.0070 	  0.0086 	 0.0301 	 0.0302
155 	 0.0069 	  0.0085 	 0.0301 	 0.0304
156 	 0.0069 	  0.0090 	 0.0300 	 0.0299
157 	 0.0068 	  0.0086 	 0.0300 	 0.0297
158 	 0.0069 	  0.0086 	 0.0302 	 0.0308
159 	 0.0069 	  0.0086 	 0.0301 	 0.0291
160 	 0.0069 	  0.0087 	 0.0300 	 0.0279
161 	 0.0069 	  0.0089 	 0.0301 	 0.0289
162 	 0.0069 	  0.0086 	 0.0302 	 0.0339
163 	 0.0069 	  0.0090 	 0.0300 	 0.0285
164 	 0.0068 	  0.0087 	 0.0301 	 0.0305
165 	 0.0068 	  0.0087 	 0.0300 	 0.0296
166 	 0.0068 	  0.0085 	 0.0300 	 0.0323
167 	 0.0068 	  0.0089 	 0.0301 	 0.0335
168 	 0.0069 	  0.0091 	 0.0302 	 0.0296
169 	 0.0069 	  0.0090 	 0.0300 	 0.0305
170 	 0.0070 	  0.0088 	 0.0301 	 0.0311
171 	 0.0069 	  0.0089 	 0.0299 	 0.0301
172 	 0.0069 	  0.0088 	 0.0302 	 0.0300
173 	 0.0069 	  0.0087 	 0.0300 	 0.0291
174 	 0.0068 	  0.0090 	 0.0301 	 0.0295
175 	 0.0070 	  0.0088 	 0.0301 	 0.0338
176 	 0.0069 	  0.0087 	 0.0302 	 0.0295
177 	 0.0069 	  0.0091 	 0.0300 	 0.0304
178 	 0.0069 	  0.0089 	 0.0301 	 0.0285
179 	 0.0069 	  0.0086 	 0.0303 	 0.0309
180 	 0.0069 	  0.0088 	 0.0302 	 0.0293
181 	 0.0068 	  0.0087 	 0.0302 	 0.0288
182 	 0.0069 	  0.0087 	 0.0303 	 0.0276
183 	 0.0069 	  0.0089 	 0.0300 	 0.0312
184 	 0.0068 	  0.0087 	 0.0303 	 0.0291
185 	 0.0068 	  0.0091 	 0.0300 	 0.0318
186 	 0.0068 	  0.0092 	 0.0301 	 0.0287
187 	 0.0069 	  0.0086 	 0.0301 	 0.0329
188 	 0.0068 	  0.0091 	 0.0301 	 0.0293
189 	 0.0068 	  0.0085 	 0.0300 	 0.0296
190 	 0.0069 	  0.0089 	 0.0301 	 0.0309
191 	 0.0068 	  0.0085 	 0.0303 	 0.0323
192 	 0.0068 	  0.0087 	 0.0302 	 0.0297
193 	 0.0068 	  0.0090 	 0.0302 	 0.0307
194 	 0.0067 	  0.0088 	 0.0303 	 0.0301
195 	 0.0068 	  0.0089 	 0.0302 	 0.0287
196 	 0.0067 	  0.0087 	 0.0303 	 0.0324
197 	 0.0069 	  0.0087 	 0.0303 	 0.0316
198 	 0.0068 	  0.0087 	 0.0303 	 0.0299
199 	 0.0068 	  0.0089 	 0.0304 	 0.0297
200 	 0.0068 	  0.0088 	 0.0303 	 0.0320
